concept,Latin,reconstruction
I,ego,iy3
blood,saNgw~is,saNg
bone,os,os
breast,"pektus, mama",pet
come,wenire,venir
die,mori,murir
dog,kanis,kan
drink,bibere,beb3r
ear,auris,oreL3
eye,okulus,okyu
fire,iNnis,fok
fish,piskis,peS
full,plenus,plen
hand,manus,man
hear,audire,sentir
horn,kornu,korn3
knee,genu,Z3nuL
leaf,foly~u*,foLa
liver,yekur,figat
louse,pedikulus,pidoko
mountain,mons,munta5a
name,nomen,nom
new,nowus,novo
night,noks,note
nose,nasus,nas
one,unus,unu
path,viya,strada
person,"persona, homo",persona
see,widere,veder
skin,kutis,pel
star,stela,stela
stone,lapis,pEtra
sun,sol,sol
tongue,liNgw~E,liNga
tooth,dens,dEnt
tree,arbor,arbur
two,duo,dos
water,akw~a,akwa
we,nos,nos
you,tu,tu
